id,type,vehicleType,plate,trackingId,speed,speedLimit,laneId,direction,cameraId,confidence,detectedAt,evidenceAvailable
17222,OVERSPEED,car,,1,43.03,40.0,,,camera-01,0.45,2026-08-15T04:55:12.189770Z,1
17221,OVERSPEED,car,,11,30.26,30.0,,,camera-01,0.6,2026-08-15T04:54:56.527514Z,1
17220,OVERSPEED,car,,52,30.74,30.0,,,camera-01,0.45,2026-08-15T04:54:54.657990Z,1
17219,OVERSPEED,car,,1,43.03,30.0,,,camera-01,0.45,2026-08-15T04:54:54.007375Z,1
18014,OVERSPEED,car,,52,33.07,50.0,,,camera-01,1.0,2026-08-15T04:54:53Z,0
18013,OVERSPEED,car,,11,32.03,50.0,,,camera-01,1.0,2026-08-15T04:54:53Z,0
17218,OVERSPEED,car,,1,43.03,40.0,,,camera-01,0.45,2026-08-15T04:54:37.502542Z,1
17217,OVERSPEED,car,,1,43.03,40.0,,,camera-01,0.45,2026-08-15T04:51:38.814892Z,1
17216,OVERSPEED,car,,11,30.26,30.0,,,camera-01,0.6,2026-08-15T04:50:42.120937Z,1
17215,OVERSPEED,car,,52,30.74,30.0,,,camera-01,0.45,2026-08-15T04:50:40.383469Z,1
17214,OVERSPEED,car,,1,43.03,30.0,,,camera-01,0.45,2026-08-15T04:50:39.753564Z,1
18012,OVERSPEED,car,,52,33.07,50.0,,,camera-01,1.0,2026-08-15T04:50:38Z,0
18011,OVERSPEED,car,,11,32.03,50.0,,,camera-01,1.0,2026-08-15T04:50:38Z,0
17213,OVERSPEED,car,,11,30.26,30.0,,,camera-01,0.6,2026-08-15T04:50:02.209988Z,1
17212,OVERSPEED,car,,52,30.74,30.0,,,camera-01,0.45,2026-08-15T04:50:00.462471Z,1
18010,OVERSPEED,car,,52,33.07,50.0,,,camera-01,1.0,2026-08-15T04:49:59Z,0
17211,OVERSPEED,car,,1,43.03,30.0,,,camera-01,0.45,2026-08-15T04:49:59.724932Z,1
18009,OVERSPEED,car,,11,32.03,50.0,,,camera-01,1.0,2026-08-15T04:49:58Z,0
17210,OVERSPEED,car,,11,30.26,30.0,,,camera-01,0.6,2026-08-15T04:49:55.057406Z,1
17209,OVERSPEED,car,,52,30.74,30.0,,,camera-01,0.45,2026-08-15T04:49:53.321009Z,1
17208,OVERSPEED,car,,1,43.03,30.0,,,camera-01,0.45,2026-08-15T04:49:52.740707Z,1
18008,OVERSPEED,car,,52,33.07,50.0,,,camera-01,1.0,2026-08-15T04:49:51Z,0
18007,OVERSPEED,car,,11,32.03,50.0,,,camera-01,1.0,2026-08-15T04:49:51Z,0
17207,OVERSPEED,car,,11,30.26,30.0,,,camera-01,0.6,2026-08-15T04:48:24.692611Z,1
17206,OVERSPEED,car,,52,30.74,30.0,,,camera-01,0.45,2026-08-15T04:48:22.992583Z,1
17205,OVERSPEED,car,,1,43.03,30.0,,,camera-01,0.45,2026-08-15T04:48:22.373259Z,1
18006,OVERSPEED,car,,52,33.07,50.0,,,camera-01,1.0,2026-08-15T04:48:21Z,0
18005,OVERSPEED,car,,11,32.03,50.0,,,camera-01,1.0,2026-08-15T04:48:21Z,0
